emotion word	pattern
joy	be/Verb RB happy/JJ (?! to) (?!\d) that/IN
fear	frighten/Verb
anticipation	be/Verb RB intent/JJ on/IN
trust	captivate/Verb
trust	rely/Verb on/IN
trust	trust/Verb that/IN
joy	be/Verb RB joyful/JJ about/IN
disgust	revolt/Verb
trust	soothe/Verb
trust	calm/Verb
joy	gratify/Verb
surprise	baffle/Verb
sadness	repent/Verb
anticipation	forecast/Verb that/IN
surprise	amaze/Verb
anticipation	be/Verb RB eager/JJ to/IN
anticipation	be/Verb loath/JJ to/TO
joy	wow/Verb
anticipation	be/Verb RB confident/JJ of/IN
anger	exacerbate/Verb
joy	be/Verb RB elated/JJ that/IN
sadness	be/Verb RB disappoint/VBN that/IN
disgust	turn off/Verb
surprise	startle/Verb
anger	make/Verb a/DT fuss/NNS about/IN
anger	be/Verb angry/JJ at/IN
disgust	nauseate/Verb
disgust	disturb/Verb
joy	inspire/Verb
anticipation	be/Verb RB desperate/JJ to/IN
anticipation	yearn/Verb for/IN
joy	thrill/Verb
sadness	dissatisfy/Verb
sadness	depress/Verb
sadness	be/Verb melancholic/JJ that/IN
trust	beguile/Verb
joy	delight/Verb
joy	be/Verb RB joyful/JJ about/IN
trust	solace/Verb
anger	irritate/Verb
fear	spook/Verb
sadness	regret/Verb
trust	count/Verb on/IN
trust	encourage/Verb
joy	please/Verb
anticipation	expect/Verb
joy	be/Verb RB glad/JJ (?! to) (?!\d) that/IN
joy	revel in/Verb
anger	be/Verb wrathful/JJ that/IN
joy	rejoice/Verb
anger	make/Verb a/DT fuss/NNS of/IN
disgust	abhor/Verb
surprise	stun/Verb
joy	be/Verb RB proud/JJ of/IN
anticipation	aspire/Verb to/TO
sadness	rue/Verb
fear	terrify/Verb
surprise	dismay/Verb
joy	enchant/Verb
disgust	put off/Verb
sadness	grieve/Verb that/IN
surprise	puzzle/Verb
joy	be/Verb RB enthusiastic/JJ about/IN
anger	be/Verb angry/JJ that/IN
joy	exhilarate/Verb
anger	be/Verb angry/JJ about/IN
anticipation	long/Verb RB to/TO
trust	mollify/Verb
joy	comfort/Verb
joy	enrapture/Verb
disgust	estrange/Verb
sadness	mourn/Verb
sadness	frustrate/Verb
disgust	sicken/Verb
sadness	be/Verb RB unhappy/JJ that/IN
joy	enjoy/Verb
sadness	dishearten/Verb
surprise	bewilder/Verb
trust	reassure/Verb
anger	make/Verb a/DT fuss/NNS over/IN
sadness	be/Verb RB unhappy/JJ that/IN
joy	relish/Verb
surprise	astonish/Verb
joy	be/Verb RB ecstatic/JJ that/IN
surprise	overwhelm/Verb
disgust	be/Verb RB ashamed/JJ of/IN
sadness	sadden/Verb
disgust	shame/Verb
anger	fret/Verb about/IN
anger	agitate/Verb
joy	elate/Verb
disgust	be/Verb RB gutted/JJ about/IN
trust	enthrall/Verb
anger	nettle/Verb
anticipation	hope/Verb for/IN
fear	traumatize/Verb
anticipation	await/Verb
sadness	discourage/Verb
joy	be/Verb RB content/JJ (?! to) (?!\d) that/IN
surprise	disconcert/Verb
anticipation	anticipate/Verb
anger	grate/Verb
disgust	be/Verb appall/VBD at/IN
fear	be/Verb RB worry/VBN about/IN
anger	be/Verb obsess/VBD with/IN
anticipation	lust/Verb after/IN
anger	chagrin/Verb
anger	excite/Verb
joy	savor/Verb
trust	appeal/Verb
anger	abase/Verb
fear	faze/Verb
anger	antagonize/Verb
anticipation	long/Verb RB for/IN
anticipation	hunger/Verb for/IN
surprise	be/Verb astonish/VBD at/IN
anticipation	concern/Verb
joy	be/Verb RB overjoyed/JJ that/IN
sadness	discomfit/Verb
joy	be/Verb RB happy/JJ about/IN
surprise	astound/Verb
anger	gall/Verb
anticipation	pine/Verb for/IN
surprise	rattle/Verb
