# Emotion	emotion word	cause	passiveExists?
# Words are in lemma form, e.g. no participles
# Where passiveExists? == true, pattern is converted in passive
joy	soothe/Verb	NP	true
surprise	stagger/Verb	NP	true
anger	sting/Verb	NP	true
anger	torment/Verb	NP	true
fear	unnerve/Verb	NP	true
anger	vex/Verb	NP	true

# WordNet-Affect
disgust	alienate/Verb	NP	true
fear	be/Verb RB nervous/JJ about/IN	NP	false
disgust	abhor/Verb	NP	false
disgust	despise/Verb	NP	false
anger	scorn/Verb	NP	false
disgust	disdain/Verb	NP	false

